example_idx,gt,status,pred_obj,correct,abs_error,rel_error,latency_sec,num_calls,parse_fail
0,1160.0,OPTIMAL,1160.0,True,0.0,0.0,7.61603307723999,2,False
1,350.0,OPTIMAL,350.0,True,0.0,0.0,9.893106698989868,2,False
2,100.0,OPTIMAL,100.0,True,0.0,0.0,7.746434211730957,2,False
3,7.0,OPTIMAL,7.0,True,0.0,0.0,6.243767499923706,2,False
4,327.6595744680851,OPTIMAL,327.6595744680851,True,0.0,0.0,4.706381320953369,2,False
5,215000.0,OPTIMAL,215000.0,True,0.0,0.0,13.905417203903198,2,False
6,513.0,OPTIMAL,513.0,True,0.0,0.0,9.737201929092407,2,False
7,236.5,OPTIMAL,224.0,False,12.5,0.052854122621341,5.4417946338653564,2,False
8,400000.0,OPTIMAL,400000.0,True,0.0,0.0,6.515153884887695,2,False
9,950.0,OPTIMAL,950.0,True,0.0,0.0,4.953693389892578,2,False
10,841.0,OPTIMAL,841.0,True,0.0,0.0,8.70433759689331,2,False
11,80.0,OPTIMAL,0.0,False,80.0,0.9999999999875,6.4469523429870605,2,False
12,37.0,OPTIMAL,12.0,False,25.0,0.6756756756574143,7.47697377204895,2,False
13,1.5,OPTIMAL,1.5,True,0.0,0.0,6.041169881820679,2,False
14,75.00000000000001,OPTIMAL,47.0,False,28.000000000000014,0.37333333332835567,8.907923221588135,2,False
15,12860.0,OPTIMAL,12600.0,False,260.0,0.020217729393466544,8.70374083518982,2,False
16,1400.0,OPTIMAL,1400.0,True,0.0,0.0,9.316420078277588,2,False
17,500.0,OPTIMAL,500.0,True,0.0,0.0,10.035313606262207,2,False
18,60000.0,OPTIMAL,51625.0,False,8375.0,0.139583333333331,5.9340431690216064,2,False
19,750.0,OPTIMAL,750.0,True,0.0,0.0,6.640078783035278,2,False
20,1060.0,OPTIMAL,1060.0,True,0.0,0.0,5.526952505111694,2,False
21,98.0,OPTIMAL,98.0,True,0.0,0.0,8.113856315612793,2,False
22,160.0,OPTIMAL,160.0,True,0.0,0.0,6.346811294555664,2,False
23,35.0,OPTIMAL,35.0,True,0.0,0.0,8.087361812591553,2,False
24,7.0,OPTIMAL,7.0,True,0.0,0.0,5.839120149612427,2,False
25,4990.0,OPTIMAL,4990.0,True,0.0,0.0,8.086457014083862,2,False
26,-99999.0,OPTIMAL,3000.0,False,,,7.475104808807373,2,False
27,67.0,OPTIMAL,67.0,True,0.0,0.0,9.830445051193237,2,False
28,29.0,OPTIMAL,29.0,True,0.0,0.0,9.725327968597412,2,False
29,369.0,OPTIMAL,369.0,True,0.0,0.0,8.194232940673828,2,False
