example_idx,gt,status,pred_obj,correct,abs_error,rel_error,latency_sec,num_calls,parse_fail
0,1160.0,OPTIMAL,1160.0,True,0.0,0.0,6.90682053565979,2,False
1,350.0,OPTIMAL,350.0,True,0.0,0.0,6.547097682952881,2,False
2,100.0,OPTIMAL,100.0,True,0.0,0.0,10.855339765548706,2,False
3,7.0,OPTIMAL,7.0,True,0.0,0.0,8.700913667678833,2,False
4,327.6595744680851,OPTIMAL,327.6595744680851,True,0.0,0.0,5.633495330810547,2,False
5,215000.0,OPTIMAL,215000.0,True,0.0,0.0,11.264349699020386,2,False
6,513.0,OPTIMAL,513.0,True,0.0,0.0,11.094178438186646,2,False
7,236.5,OPTIMAL,224.0,False,12.5,0.052854122621341,6.207906246185303,2,False
8,400000.0,OPTIMAL,400000.0,True,0.0,0.0,6.1802122592926025,2,False
9,950.0,OPTIMAL,950.0,True,0.0,0.0,6.418410062789917,2,False
10,841.0,OPTIMAL,841.0,True,0.0,0.0,7.986908912658691,2,False
11,80.0,OPTIMAL,48.0,False,32.0,0.39999999999499997,7.857821464538574,2,False
12,37.0,OPTIMAL,37.0,True,0.0,0.0,6.475567102432251,2,False
13,1.5,OPTIMAL,1.5,True,0.0,0.0,6.448745012283325,2,False
14,75.00000000000001,OPTIMAL,47.0,False,28.000000000000014,0.37333333332835567,9.115225791931152,2,False
15,12860.0,OPTIMAL,12600.0,False,260.0,0.020217729393466544,5.941996335983276,2,False
16,1400.0,OPTIMAL,1400.0,True,0.0,0.0,6.444538593292236,2,False
17,500.0,OPTIMAL,500.0,True,0.0,0.0,5.837056398391724,2,False
18,60000.0,OPTIMAL,51625.0,False,8375.0,0.139583333333331,6.382356882095337,2,False
19,750.0,OPTIMAL,750.0,True,0.0,0.0,9.396703004837036,2,False
20,1060.0,OPTIMAL,1060.0,True,0.0,0.0,10.330198526382446,3,False
21,98.0,OPTIMAL,98.0,True,0.0,0.0,7.148690938949585,2,False
22,160.0,OPTIMAL,160.0,True,0.0,0.0,6.676081657409668,2,False
23,35.0,OPTIMAL,35.0,True,0.0,0.0,7.064206838607788,2,False
24,7.0,OPTIMAL,7.0,True,0.0,0.0,5.117941617965698,2,False
25,4990.0,OPTIMAL,4990.0,True,0.0,0.0,5.940274715423584,2,False
26,-99999.0,OPTIMAL,3000.0,False,,,4.911632537841797,2,False
27,67.0,OPTIMAL,67.0,True,0.0,0.0,7.68318510055542,2,False
28,29.0,OPTIMAL,29.0,True,0.0,0.0,5.920903205871582,2,False
29,369.0,OPTIMAL,369.0,True,0.0,0.0,4.829522609710693,2,False
30,206250.0,OPTIMAL,206250.0,True,0.0,0.0,6.139714241027832,2,False
31,84.0,OPTIMAL,48.0,False,36.0,0.4285714285663265,6.042893886566162,2,False
32,600.0,OPTIMAL,600.0,True,0.0,0.0,6.965115785598755,2,False
33,239.0,OPTIMAL,239.0,True,0.0,0.0,5.1183881759643555,2,False
34,33.5,OPTIMAL,33.5,True,0.0,0.0,6.11614203453064,2,False
35,4400.0,OPTIMAL,4400.0,True,0.0,0.0,8.933255434036255,2,False
36,150000.0,OPTIMAL,150000.0,True,0.0,0.0,5.530306577682495,2,False
37,648.0,OPTIMAL,648.0,True,0.0,0.0,4.91895055770874,2,False
38,300.0,OPTIMAL,300.0,True,0.0,0.0,8.085982084274292,2,False
39,8.0,OPTIMAL,8.0,True,0.0,0.0,8.804923295974731,2,False
40,142.0,OPTIMAL,142.0,True,0.0,0.0,7.679865837097168,2,False
41,540.0,OPTIMAL,540.0,True,0.0,0.0,6.141676902770996,2,False
42,17000.0,OPTIMAL,17000.0,True,0.0,0.0,7.372695446014404,2,False
43,990.0,OPTIMAL,990.0,True,0.0,0.0,5.838288307189941,2,False
44,-99999.0,INF_OR_UNBD,,False,,,12.218044757843018,3,False
45,960.0,OPTIMAL,960.0,True,0.0,0.0,4.369545936584473,2,False
46,290.5,OPTIMAL,291.6666666666667,False,1.1666666666666856,0.004016064257014353,3.8574581146240234,2,False
47,4190.0,OPTIMAL,4190.0,True,0.0,0.0,5.766723394393921,2,False
48,5.851851851851852,OPTIMAL,5.851851851851852,True,0.0,0.0,5.475958347320557,2,False
49,3.0,OPTIMAL,3.0,True,0.0,0.0,6.466933488845825,2,False
50,14375.0,OPTIMAL,14375.0,True,0.0,0.0,8.149009227752686,2,False
51,25.0,OPTIMAL,25.0,True,0.0,0.0,10.524177074432373,2,False
52,1000.0,OPTIMAL,970.0,False,30.0,0.029999999999970002,7.6829798221588135,2,False
53,690.0,OPTIMAL,690.0,True,0.0,0.0,7.983336925506592,2,False
54,1680.0,OPTIMAL,1680.0,True,0.0,0.0,5.222656726837158,2,False
55,25.0,OPTIMAL,25.0,True,0.0,0.0,7.370740175247192,2,False
56,7.0,OPTIMAL,9.0,False,2.0,0.2857142856734694,8.603900671005249,2,False
57,85500.0,OPTIMAL,85500.0,True,0.0,0.0,8.432337999343872,2,False
58,9000.0,OPTIMAL,9000.0,True,0.0,0.0,8.15089201927185,2,False
59,2200.0,OPTIMAL,2200.0,True,0.0,0.0,6.655603885650635,2,False
60,150000.0,OPTIMAL,150000.0,True,0.0,0.0,7.372890472412109,2,False
61,19.0,OPTIMAL,19.0,True,0.0,0.0,5.633213043212891,2,False
62,62.5,OPTIMAL,62.5,True,0.0,0.0,9.522447347640991,2,False
63,37.0,OPTIMAL,36.666666666666664,False,0.3333333333333357,0.009009009008765587,6.758028030395508,2,False
64,52.0,OPTIMAL,52.0,True,0.0,0.0,8.293788194656372,2,False
65,580.0,OPTIMAL,580.0,True,0.0,0.0,6.455064296722412,2,False
66,-99999.0,OPTIMAL,76.0,False,,,8.601248264312744,2,False
67,60.0,OPTIMAL,60.0,True,0.0,0.0,6.445417642593384,2,False
68,2400.0,OPTIMAL,2333.3333333333335,False,66.66666666666652,0.02777777777776614,7.377220630645752,2,False
69,735.0,OPTIMAL,735.0,True,0.0,0.0,7.368921756744385,2,False
70,14.0,OPTIMAL,14.0,True,0.0,0.0,7.779417514801025,2,False
71,1480.0,OPTIMAL,1480.0,True,0.0,0.0,8.191182851791382,2,False
72,1.5,OPTIMAL,1.5,True,0.0,0.0,4.919126987457275,2,False
73,6.4,OPTIMAL,21.333333333333336,False,14.933333333333335,2.33333333296875,5.833948850631714,2,False
74,5050.0,OPTIMAL,5050.0,True,0.0,0.0,7.373666763305664,2,False
75,1800.0,OPTIMAL,1800.0,True,0.0,0.0,6.144328832626343,2,False
76,1965.0,OPTIMAL,1965.0,True,0.0,0.0,7.061296701431274,2,False
77,310.0,OPTIMAL,575.0,False,265.0,0.8548387096746618,6.764775276184082,2,False
78,14.0,OPTIMAL,14.0,True,0.0,0.0,6.1373913288116455,2,False
79,36900.0,OPTIMAL,37083.333333333336,False,183.33333333333576,0.004968383017163436,7.066804647445679,2,False
80,6.0,OPTIMAL,6.0,True,0.0,0.0,6.14830470085144,2,False
