example_idx,gt,status,pred_obj,correct,abs_error,rel_error,latency_sec,num_calls,parse_error
0,1160.0,INFEASIBLE,,False,,,7.956624984741211,2,False
1,350.0,OPTIMAL,200.0,False,150.0,0.4285714285702041,5.72244930267334,2,False
2,100.0,OPTIMAL,100.0,True,0.0,0.0,4.708661317825317,2,False
3,7.0,OPTIMAL,7.0,True,0.0,0.0,5.322299957275391,2,False
4,327.6595744680851,OPTIMAL,327.6595744680851,True,0.0,0.0,4.92038106918335,2,False
5,215000.0,OPTIMAL,215000.0,True,0.0,0.0,5.321970701217651,2,False
6,513.0,OPTIMAL,513.0,True,0.0,0.0,8.500816583633423,2,False
7,236.5,OPTIMAL,224.0,False,12.5,0.052854122621341,5.831462621688843,2,False
8,400000.0,OPTIMAL,400000.0,True,0.0,0.0,4.405608654022217,2,False
9,950.0,OPTIMAL,950.0,True,0.0,0.0,4.195702314376831,2,False
10,841.0,OPTIMAL,980.0,False,139.0,0.16527942925069528,5.087474346160889,2,False
11,80.0,OPTIMAL,48.0,False,32.0,0.39999999999499997,5.46543025970459,2,False
12,37.0,OPTIMAL,37.0,True,0.0,0.0,4.298196315765381,2,False
13,1.5,OPTIMAL,1.5,True,0.0,0.0,4.5015106201171875,2,False
14,75.00000000000001,OPTIMAL,0.0,False,75.00000000000001,0.9999999999866667,4.913092613220215,2,False
15,12860.0,OPTIMAL,12860.0,True,0.0,0.0,4.814711093902588,2,False
16,1400.0,OPTIMAL,700.0,False,700.0,0.49999999999964284,6.246936559677124,2,False
17,500.0,OPTIMAL,500.0,True,0.0,0.0,4.504034042358398,2,False
18,60000.0,OPTIMAL,51625.0,False,8375.0,0.139583333333331,7.678658962249756,2,False
19,750.0,OPTIMAL,750.0,True,0.0,0.0,9.009655952453613,2,False
20,1060.0,OPTIMAL,1060.0,True,0.0,0.0,4.81709361076355,2,False
21,98.0,OPTIMAL,98.0,True,0.0,0.0,4.6056647300720215,2,False
22,160.0,OPTIMAL,160.0,True,0.0,0.0,5.42745304107666,2,False
23,35.0,OPTIMAL,34.0,False,1.0,0.028571428570612248,7.2705278396606445,2,False
24,7.0,OPTIMAL,7.0,True,0.0,0.0,4.914099931716919,2,False
25,4990.0,OPTIMAL,4990.0,True,0.0,0.0,6.34333872795105,2,False
26,-99999.0,OPTIMAL,3000.0,False,,,4.608167409896851,2,False
27,67.0,OPTIMAL,67.0,True,0.0,0.0,7.376422882080078,2,False
28,29.0,OPTIMAL,29.0,True,0.0,0.0,5.425940990447998,2,False
29,369.0,OPTIMAL,369.0,True,0.0,0.0,3.892406702041626,2,False
30,206250.0,OPTIMAL,206250.0,True,0.0,0.0,5.014595031738281,2,False
31,84.0,INFEASIBLE,,False,,,6.447378635406494,2,False
