example,gt,pred,correct,abs_error,rel_error,latency_sec
0,1160.0,1160.0,True,0.0,0.0,7.490713834762573
1,350.0,350.0,True,0.0,0.0,7.841362237930298
2,100.0,100.0,True,0.0,0.0,12.771825075149536
3,7.0,7.0,True,0.0,0.0,8.43172836303711
4,327.6595744680851,340.0,False,12.340425531914889,0.037662337662222704,6.786689519882202
5,215000.0,,False,,,8.384089708328247
6,513.0,513.0,True,0.0,0.0,10.261842489242554
7,236.5,224.0,False,12.5,0.052854122621341,7.0119030475616455
8,400000.0,400000.0,True,0.0,0.0,7.526987552642822
9,950.0,950.0,True,0.0,0.0,7.263460874557495
10,841.0,841.0,True,0.0,0.0,8.517687320709229
11,80.0,80.0,True,0.0,0.0,9.864735841751099
12,37.0,37.0,True,0.0,0.0,7.587695598602295
13,1.5,1.5,True,0.0,0.0,14.121376276016235
14,75.00000000000001,75.0,True,1.4210854715202004e-14,1.8947806286683364e-16,8.653866052627563
15,12860.0,12600.0,False,260.0,0.020217729393466544,7.9159321784973145
16,1400.0,1400.0,True,0.0,0.0,9.871710538864136
17,500.0,500.0,True,0.0,0.0,6.955989837646484
18,60000.0,51625.0,False,8375.0,0.139583333333331,5.637821674346924
19,750.0,750.0,True,0.0,0.0,9.841440200805664
20,1060.0,1060.0,True,0.0,0.0,6.807861566543579
21,98.0,98.0,True,0.0,0.0,8.54017186164856
22,160.0,160.0,True,0.0,0.0,10.917805194854736
23,35.0,35.0,True,0.0,0.0,15.971842288970947
24,7.0,7.0,True,0.0,0.0,8.166059494018555
25,4990.0,4990.0,True,0.0,0.0,4.844050645828247
26,-99999.0,3000.0,False,102999.0,1.0300003000029896,6.769336462020874
27,67.0,67.0,True,0.0,0.0,14.281461477279663
28,29.0,29.0,True,0.0,0.0,9.530475616455078
29,369.0,369.0,True,0.0,0.0,9.156245231628418
30,206250.0,206250.0,True,0.0,0.0,7.092509984970093
31,84.0,100.0,False,16.0,0.1904761904739229,15.286685466766357
32,600.0,603.0,False,3.0,0.0049999999999916665,11.822379112243652
33,239.0,239.0,True,0.0,0.0,6.152921199798584
34,33.5,33.5,True,0.0,0.0,7.551777362823486
35,4400.0,4400.0,True,0.0,0.0,10.11946725845337
36,150000.0,150000.0,True,0.0,0.0,8.228981971740723
37,648.0,648.0,True,0.0,0.0,17.192485332489014
38,300.0,300.0,True,0.0,0.0,5.961601495742798
39,8.0,8.0,True,0.0,0.0,8.094276905059814
40,142.0,142.0,True,0.0,0.0,7.9832892417907715
41,540.0,540.0,True,0.0,0.0,7.86616587638855
42,17000.0,17000.0,True,0.0,0.0,6.282971143722534
43,990.0,990.0,True,0.0,0.0,6.868871688842773
44,-99999.0,,False,,,8.999454498291016
45,960.0,960.0,True,0.0,0.0,9.189732313156128
46,290.5,290.5,True,0.0,0.0,10.948850393295288
47,4190.0,4190.0,True,0.0,0.0,7.8550238609313965
48,5.851851851851852,8.0,False,2.148148148148148,0.36708860753220635,9.554661273956299
49,3.0,3.0,True,0.0,0.0,8.850531339645386
50,14375.0,14325.0,False,50.0,0.0034782608695649755,7.94420313835144
51,25.0,25.0,True,0.0,0.0,8.402032136917114
52,1000.0,970.0,False,30.0,0.029999999999970002,12.55392861366272
53,690.0,720.0,False,30.0,0.043478260869502204,7.246285915374756
54,1680.0,1680.0,True,0.0,0.0,6.476118087768555
55,25.0,25.0,True,0.0,0.0,5.979782342910767
56,7.0,7.0,True,0.0,0.0,10.04218602180481
57,85500.0,85500.0,True,0.0,0.0,8.087138175964355
58,9000.0,9000.0,True,0.0,0.0,8.886100769042969
59,2200.0,2200.0,True,0.0,0.0,5.873383522033691
60,150000.0,,False,,,8.922631978988647
61,19.0,19.0,True,0.0,0.0,16.148245811462402
62,62.5,62.5,True,0.0,0.0,6.124884128570557
63,37.0,37.0,True,0.0,0.0,14.351879596710205
64,52.0,52.0,True,0.0,0.0,11.750348567962646
65,580.0,580.0,True,0.0,0.0,13.216532945632935
66,-99999.0,76.0,False,100075.0,1.000760007600066,8.496948003768921
67,60.0,60.0,True,0.0,0.0,7.7883460521698
68,2400.0,,False,,,9.673014640808105
69,735.0,735.0,True,0.0,0.0,6.78813099861145
70,14.0,14.0,True,0.0,0.0,8.563488721847534
71,1480.0,1480.0,True,0.0,0.0,5.693939685821533
72,1.5,1.5,True,0.0,0.0,6.899714469909668
73,6.4,20.8,False,14.4,2.249999999648437,6.800910472869873
74,5050.0,5050.0,True,0.0,0.0,5.655792236328125
75,1800.0,1800.0,True,0.0,0.0,7.1606245040893555
76,1965.0,1965.0,True,0.0,0.0,7.189901351928711
77,310.0,320.0,False,10.0,0.032258064516024976,9.245795965194702
78,14.0,14.0,True,0.0,0.0,6.809615135192871
79,36900.0,36900.0,True,0.0,0.0,12.846469163894653
80,6.0,6.0,True,0.0,0.0,5.7086474895477295
81,17.714285714285715,20.0,False,2.2857142857142847,0.12903225805723198,10.023266792297363
82,1001.0,1001.0,True,0.0,0.0,8.406124114990234
83,390.0,390.0,True,0.0,0.0,8.174566507339478
84,81000.0,81000.0,True,0.0,0.0,5.101476430892944
85,72.0,72.0,True,0.0,0.0,13.231725215911865
86,4000000.0,4000000.0,True,0.0,0.0,12.447624683380127
87,1080.0,1080.0,True,0.0,0.0,6.722061634063721
88,32.0,32.0,True,0.0,0.0,6.228735446929932
89,810.0,810.0,True,0.0,0.0,7.452242374420166
90,160.0,160.0,True,0.0,0.0,13.027785301208496
91,230.0,230.0,True,0.0,0.0,11.48513412475586
92,24.0,24.0,True,0.0,0.0,9.287657976150513
93,2480.0,2480.0,True,0.0,0.0,6.558137893676758
94,310.0,310.0,True,0.0,0.0,5.330471038818359
95,300.0,300.0,True,0.0,0.0,6.965839385986328
96,22.0,22.0,True,0.0,0.0,7.727393865585327
97,175.0,175.0,True,0.0,0.0,7.996275424957275
